"日付","種目","距離","プール","タイム","種別","大会名","レース","順位","メモ","入力者"
"2025-03-28","バタフライ","50","短水路","26.15","大会","JO(春)","A-決勝","3位","","データ移行"
"2025-02-23","バタフライ","50","短水路","26.28","大会","兵庫県JO(春)","予選","1位","","データ移行"
"2025-02-23","バタフライ","50","短水路","26.35","大会","兵庫県JO(春)","A-決勝","1位","","データ移行"
"2025-03-23","バタフライ","50","短水路","26.38","大会","尼崎室内選手権","タイム決勝","1位","","データ移行"
"2025-01-25","バタフライ","50","短水路","26.49","大会","兵庫県短水路選手権","予選","22位","","データ移行"
"2025-03-28","バタフライ","50","短水路","26.62","大会","JO(春)","予選","3位","","データ移行"
"2025-02-02","バタフライ","50","短水路","26.64","大会","わかやまオープン","A-決勝","1位","","データ移行"
"2025-01-12","バタフライ","50","短水路","26.82","大会","新年フェスティバル","タイム決勝","1位","","データ移行"
"2025-02-02","バタフライ","50","短水路","27","大会","わかやまオープン","予選","1位","","データ移行"
"2025-01-19","バタフライ","50","短水路","27.02","大会","兵庫県Jr新春記録会","タイム決勝","4位","","データ移行"
"2024-12-01","バタフライ","50","短水路","27.29","タイムトライアル","兵庫地域冬季トライアル大会","タイム決勝","1位","","データ移行"
"2024-11-03","バタフライ","50","短水路","27.6","大会","兵庫県ジュニアスイマーズミート","タイム決勝","1位","","データ移行"
"2024-03-28","バタフライ","50","短水路","27.91","大会","JO(春)","予選","25位","","データ移行"
"2024-02-04","バタフライ","50","短水路","27.98","大会","わかやまオープン","A-決勝","2位","","データ移行"
"2024-02-24","バタフライ","50","短水路","28.11","大会","兵庫県JO(春)","予選","1位","","データ移行"
"2024-02-04","バタフライ","50","短水路","28.65","大会","わかやまオープン","予選","2位","","データ移行"
"2024-02-24","バタフライ","50","短水路","28.66","大会","兵庫県JO(春)","A-決勝","1位","","データ移行"
"2024-01-27","バタフライ","50","短水路","28.85","大会","兵庫県短水路選手権","予選","43位","","データ移行"
"2023-12-03","バタフライ","50","短水路","29.33","タイムトライアル","兵庫地域冬季トライアル大会","タイム決勝","12位","","データ移行"
"2023-10-28","バタフライ","50","短水路","29.56","大会","兵庫県ジュニアスイマーズミート","タイム決勝","18位","","データ移行"
"2025-02-24","バタフライ","100","短水路","58.63","大会","兵庫県JO(春)","A-決勝","1位","","データ移行"
"2025-03-27","バタフライ","100","短水路","59.3","大会","JO(春)","A-決勝","4位","","データ移行"
"2025-02-01","バタフライ","100","短水路","59.46","大会","わかやまオープン","A-決勝","2位","","データ移行"
"2025-03-27","バタフライ","100","短水路","59.72","大会","JO(春)","予選","4位","","データ移行"
"2025-01-12","バタフライ","100","短水路","59.92","大会","新年フェスティバル","タイム決勝","1位","","データ移行"
"2025-02-24","バタフライ","100","短水路","01:00.08","大会","兵庫県JO(春)","予選","1位","","データ移行"
"2025-01-26","バタフライ","100","短水路","01:00.46","大会","兵庫県短水路選手権","予選","50位","","データ移行"
"2025-02-01","バタフライ","100","短水路","01:00.73","大会","わかやまオープン","予選","2位","","データ移行"
"2024-11-04","バタフライ","100","短水路","01:01.07","大会","兵庫県ジュニアスイマーズミート","タイム決勝","1位","","データ移行"
"2024-06-30","バタフライ","100","短水路","01:01.23","大会","東大阪地域夏季AB級公認","タイム決勝","1位","","データ移行"
"2025-01-19","バタフライ","100","短水路","01:01.34","大会","兵庫県Jr新春記録会","タイム決勝","14位","","データ移行"
"2024-03-27","バタフライ","100","短水路","01:03.05","大会","JO(春)","予選","33位","","データ移行"
"2024-02-03","バタフライ","100","短水路","01:03.99","大会","わかやまオープン","A-決勝","6位","","データ移行"
"2024-02-03","バタフライ","100","短水路","01:04.01","大会","わかやまオープン","予選","6位","","データ移行"
"2024-02-25","バタフライ","100","短水路","01:04.36","大会","兵庫県JO(春)","A-決勝","1位","","データ移行"
"2024-01-14","バタフライ","100","短水路","01:05.79","大会","新年フェスティバル","タイム決勝","3位","","データ移行"
"2023-12-03","バタフライ","100","短水路","01:05.89","タイムトライアル","兵庫地域冬季トライアル大会","タイム決勝","34位","","データ移行"
"2023-12-17","バタフライ","100","短水路","01:06.02","大会","兵庫地域A･AA級大会","タイム決勝","27位","","データ移行"
"2024-02-25","バタフライ","100","短水路","01:07.44","大会","兵庫県JO(春)","予選","1位","","データ移行"
"2023-10-29","バタフライ","100","短水路","01:08.14","大会","兵庫県ジュニアスイマーズミート","タイム決勝","43位","","データ移行"
"2024-12-01","バタフライ","200","短水路","02:16.85","タイムトライアル","兵庫地域冬季トライアル大会","タイム決勝","1位","","データ移行"
"2025-03-23","自由形","50","短水路","25.2","大会","尼崎室内選手権","タイム決勝","1位","","データ移行"
"2025-02-02","自由形","50","短水路","25.27","大会","わかやまオープン","予選","1位","","データ移行"
"2025-03-28","自由形","50","短水路","25.35","大会","JO(春)","A-決勝","7位","","データ移行"
"2025-02-02","自由形","50","短水路","25.51","大会","わかやまオープン","A-決勝","2位","","データ移行"
"2025-03-28","自由形","50","短水路","25.56","大会","JO(春)","予選","10位","","データ移行"
"2025-01-25","自由形","50","短水路","26.02","大会","兵庫県短水路選手権","予選","76位","","データ移行"
"2025-01-19","自由形","50","短水路","26.27","大会","兵庫県Jr新春記録会","タイム決勝","14位","","データ移行"
"2024-06-30","自由形","50","短水路","27.53","大会","東大阪地域夏季AB級公認","タイム決勝","6位","","データ移行"
"2024-02-11","自由形","50","短水路","27.88","大会","兵庫県冬季公式記録会","タイム決勝","59位","","データ移行"
